Name;spectrum_20140711_1722139,csv;spectrum_20140711_1722141,csv;;;;;;;;;;;;;;;;
Time;20140711_1722139;20140711_1722141;;;;Configuración 1;Tolerancia;0,08;;;;;Configuración 2;Tolerancia;0,08;;;
IT;90374;90374;;;;800;450;550;670;710;720;;780;530;570;670;710;730
337,39;0;0;;;Blanco;0,90515214;0,45021334;0,6277781;0,7544263;0,7750011;0,74113667;;0,8622775;0,5878746;0,6567268;0,7544263;0,7750011;0,7664155
337,85;0;0;;;Negro;0,05521491;0,026949313;0,03863029;0,04331118;0,044679403;0,043302737;;0,051412694;0,03628292;0,04065468;0,04331118;0,044679403;0,04425759
338,3;0;0;;;;0,13521491;0,106949313;0,11863029;0,12331118;0,124679403;0,123302737;;0,131412694;0,11628292;0,12065468;0,12331118;0,124679403;0,12425759
338,76;0;0;;;;;;;;;;;;;;;;
339,21;0,36206794;0,07063918;;;;;;;;;;;;;;;;
339,66;0,35802257;0,054452017;;;;;;;;;;;;;;;;
340,12;0,38232264;0,052609947;;;;;;;;;;;;;;;;
340,57;0,40248287;0,1021495;;;;;;;;;;;;;;;;
341,03;0,35723045;0,054185748;;;;;;;;;;;;;;;;
341,48;0,38168165;0,10314576;;;;;;;;;;;;;;;;
341,94;0,45476818;0,117749766;;;;;;;;;;;;;;;;
342,39;0,37754053;0,07792711;;;;;;;;;;;;;;;;
342,84;0,43787107;0,11516125;;;;;;;;;;;;;;;;
343,3;0,38625568;0,07287528;;;;;;;;;;;;;;;;
343,75;0,40489888;0,09924229;;;;;;;;;;;;;;;;
344,21;0,42801705;0,07436752;;;;;;;;;;;;;;;;
344,66;0,3460672;0,07486453;;;;;;;;;;;;;;;;
345,12;0,40134037;0,090925165;;;;;;;;;;;;;;;;
345,57;0,3134703;0,052174337;;;;;;;;;;;;;;;;
346,02;0,35040238;0,08362927;;;;;;;;;;;;;;;;
346,48;0,3521869;0,04448446;;;;;;;;;;;;;;;;
346,93;0,39641103;0,08384567;;;;;;;;;;;;;;;;
347,39;0,37859902;0,092718095;;;;;;;;;;;;;;;;
347,84;0,32556453;0,049446464;;;;;;;;;;;;;;;;
348,3;0,24849705;-0,009619356;;;;;;;;;;;;;;;;
348,75;0,3146009;0,078904025;;;;;;;;;;;;;;;;
349,21;0,3312305;0,08798683;;;;;;;;;;;;;;;;
349,66;0,32947776;0,06684208;;;;;;;;;;;;;;;;
350,12;0,35759822;0,09166219;;;;;;;;;;;;;;;;
350,57;0,35973746;0,0809478;;;;;;;;;;;;;;;;
351,03;0,3326046;0,06584023;;;;;;;;;;;;;;;;
351,48;0,34772065;0,08422348;;;;;;;;;;;;;;;;
351,94;0,34040427;0,07690928;;;;;;;;;;;;;;;;
352,39;0,36883995;0,08782402;;;;;;;;;;;;;;;;
352,85;0,3954328;0,0926221;;;;;;;;;;;;;;;;
353,3;0,3548499;0,080627754;;;;;;;;;;;;;;;;
353,76;0,37487823;0,08566064;;;;;;;;;;;;;;;;
354,21;0,31957486;0,043189187;;;;;;;;;;;;;;;;
354,67;0,3550785;0,074716054;;;;;;;;;;;;;;;;
355,12;0,34025034;0,041023705;;;;;;;;;;;;;;;;
355,58;0,37898943;0,09996589;;;;;;;;;;;;;;;;
356,03;0,3862007;0,09328321;;;;;;;;;;;;;;;;
356,49;0,4003944;0,10118962;;;;;;;;;;;;;;;;
356,94;0,39582574;0,07323384;;;;;;;;;;;;;;;;
357,4;0,36968762;0,0936394;;;;;;;;;;;;;;;;
357,85;0,34810674;0,08697731;;;;;;;;;;;;;;;;
358,31;0,34166357;0,07459984;;;;;;;;;;;;;;;;
358,76;0,33467248;0,08486973;;;;;;;;;;;;;;;;
359,22;0,3514803;0,08401494;;;;;;;;;;;;;;;;
359,68;0,3386972;0,076134;;;;;;;;;;;;;;;;
360,13;0,35672358;0,087487884;;;;;;;;;;;;;;;;
360,59;0,3609469;0,08825241;;;;;;;;;;;;;;;;
361,04;0,38066614;0,09064686;;;;;;;;;;;;;;;;
361,5;0,36220583;0,07094218;;;;;;;;;;;;;;;;
361,95;0,3536527;0,08822302;;;;;;;;;;;;;;;;
362,41;0,34053886;0,07303385;;;;;;;;;;;;;;;;
362,86;0,33889157;0,082278326;;;;;;;;;;;;;;;;
363,32;0,37202471;0,095844835;;;;;;;;;;;;;;;;
363,78;0,362287;0,090277866;;;;;;;;;;;;;;;;
364,23;0,33897662;0,09111028;;;;;;;;;;;;;;;;
364,69;0,3409769;0,07771256;;;;;;;;;;;;;;;;
365,14;0,31777123;0,06516026;;;;;;;;;;;;;;;;
365,6;0,31142613;0,066540174;;;;;;;;;;;;;;;;
366,06;0,27669403;0,037252888;;;;;;;;;;;;;;;;
366,51;0,3455398;0,0853216;;;;;;;;;;;;;;;;
366,97;0,33459863;0,07960266;;;;;;;;;;;;;;;;
367,42;0,3417083;0,0828883;;;;;;;;;;;;;;;;
367,88;0,3493174;0,08204482;;;;;;;;;;;;;;;;
368,34;0,31574434;0,05552829;;;;;;;;;;;;;;;;
368,79;0,33970147;0,077025115;;;;;;;;;;;;;;;;
