#name longitude/X latitude/Y height/Z roll pitch yaw
#seconds_offset: 0
1.JPG 0.7016113 41.7797122 9.223372036854776E16 3.16 -15.14 207.32
10.JPG 0.7015868 41.7795747 9.223372036854776E16 5.58 -0.31 93.05
11.JPG 0.7017643 41.7795682 9.223372036854776E16 1.37 -5.24 88.21
12.JPG 0.7019359 41.7795554 9.223372036854776E16 3.13 -0.77 144.84
13.JPG 0.7020851 41.7794766 9.223372036854776E16 3.17 -4.14 103.29
14.JPG 0.702339 41.7794337 9.223372036854776E16 6.57 -2.44 107.71
15.JPG 0.7025346 41.7793536 9.223372036854776E16 2.73 -3.62 133.36
16.JPG 0.7026652 41.7792123 9.223372036854776E16 4.5 -11.74 177.21
17.JPG 0.7026439 41.7790953 9.223372036854776E16 2.25 -16.31 271.08
18.JPG 0.702479 41.7791223 9.223372036854776E16 -10.37 -10.77 314.4
19.JPG 0.702322 41.779179 9.223372036854776E16 2.81 -15.53 266.65
2.JPG 0.7020997 41.7791922 9.223372036854776E16 -5.66 -17.59 277.16
20.JPG 0.7018559 41.7792484 9.223372036854776E16 -7.06 -13.74 305.38
21.JPG 0.7016619 41.7793137 9.223372036854776E16 2.73 -14.63 269.36
22.JPG 0.7014397 41.7793331 9.223372036854776E16 -4.11 -16.42 271.9
3.JPG 0.7012396 41.7793025 9.223372036854776E16 5.86 -8.91 223.42
4.JPG 0.7011963 41.7791836 9.223372036854776E16 11.89 0.46 119.07
5.JPG 0.7013495 41.779151 9.223372036854776E16 -4.21 -3.0 79.26
6.JPG 0.7015664 41.7791264 9.223372036854776E16 6.42 -1.88 142.43
7.JPG 0.7017466 41.7790216 9.223372036854776E16 0.77 -0.78 96.42
8.JPG 0.7019874 41.7789973 9.223372036854776E16 2.09 -2.44 103.5
9.JPG 0.7022133 41.778946 9.223372036854776E16 4.59 -3.56 140.05
